ID_Colaborador;Nome Completo;Sexo;Idade;Cargo;Equipe;DataContratacao
1;Amanda Souza;Feminino;25;Vendedor;Isac Almeida;22/07/2022
2;Ana Oliveira;Feminino;26;Vendedor;Patrícia Vieira;12/07/2019
3;Ana Oliveira;Feminino;23;Vendedor;Reinaldo Roni;03/10/2017
4;AndrŽ Almeida;Masculino;29;Vendedor;Isac Almeida;11/08/2017
5;AndrŽ Costa;Masculino;27;Vendedor;Patrícia Vieira;09/09/2021
6;Carlos Pereira;Masculino;32;Vendedor;Patrícia Vieira;09/12/2020
7;Carlos Rodrigues;Masculino;40;Vendedor;Isac Almeida;12/05/2022
8;Isac Almeida;Masculino;35;Gerente;Isac Almeida;11/05/2018
9;Jo‹o da Silva;Masculino;30;Vendedor;Patrícia Vieira;16/06/2020
10;Jo‹o Santos;Masculino;35;Vendedor;Reinaldo Roni;30/10/2013
11;Laura Costa;Feminino;32;Vendedor;Isac Almeida;10/08/2015
12;Lu’sa Ferreira;Feminino;29;Vendedor;Patrícia Vieira;11/08/2017
13;Maria Santos;Feminino;28;Vendedor;Patrícia Vieira;15/10/2018
14;Maria Silva;Feminino;28;Vendedor;Reinaldo Roni;07/04/2014
15;Marta Santos;Feminino;25;Vendedor;Reinaldo Roni;23/08/2016
16;Patr’cia Ramos;Feminino;26;Vendedor;Isac Almeida;19/06/2017
17;Patr’cia Vieira;Feminino;42;Gerente;Patrícia Vieira;14/03/2017
18;Pedro Almeida;Masculino;35;Vendedor;Patrícia Vieira;11/10/2013
19;Pedro Ferreira;Masculino;30;Vendedor;Reinaldo Roni;31/12/2021
20;Reinaldo Roni;Masculino;45;Gerente;Reinaldo Roni;21/10/2019
21;Ricardo Gonalves;Masculino;34;Vendedor;Reinaldo Roni;08/06/2015
22;Sofia Pereira;Feminino;27;Vendedor;Isac Almeida;27/11/2018
23;Sofia Rodrigues;Feminino;31;Vendedor;Reinaldo Roni;04/04/2014
24;Tiago Sousa;Masculino;33;Vendedor;Isac Almeida;23/01/2017
